match_id,elapsed_time,point_no,server,p1_skill_score,p2_skill_score,p1_physical_score,p2_physical_score,p1_error_score,p2_error_score,p1_win_streak,p2_win_streak,point_victor,win_streak,p1_momentum_score,p2_momentum_score,momentum_diff,diff_sig
2023-wimbledon-1301,0,1,1,0,0,0.002752591,0.003596719,-1,0,0,0,2,0,1.2,1,0.2,0
2023-wimbledon-1301,38,2,1,0,0,0.002045304,0.002467597,0,0,-1,1,1,-1,3.5,1.1,2.4,-1
2023-wimbledon-1301,61,3,1,0,0,0.013608612,0.019121134,-1,0,1,-1,2,1,1.7,2.5,-0.8,1
2023-wimbledon-1301,91,4,1,0.12479256,0,0.153439928,0.226566868,0,0,-1,1,1,-1,3.9,1.5,2.4,0
2023-wimbledon-1301,141,5,1,0.6166313,0,0.00128565,0.001323268,0,0,1,-1,1,1,3.02479256,1.5,1.52479256,-1
2023-wimbledon-1301,170,6,1,0,0,0.003606735,0.003128701,0,0,2,-2,2,2,2.0166313,2.2,-0.1833687,1
2023-wimbledon-1301,213,7,1,0.6166313,0,0.002794563,0.005318689,0,0,-1,1,1,-1,2.9,1.5,1.4,-1
2023-wimbledon-1301,241,8,1,0,0.20259066,0.025348367,0.026124598,0,0,1,-1,2,1,2.3166313,2.5,-0.1833687,1
2023-wimbledon-1301,288,9,1,0.0777981,0,0.056678012,0.040789827,0,0,-1,1,1,-1,2.9,1.70259066,1.19740934,0
2023-wimbledon-1301,332,10,1,0,0,0.025686983,0.032788668,0,0,1,-1,1,1,2.9777981,1.5,1.4777981,-1
2023-wimbledon-1301,425,11,2,0,0.6166313,0.002715761,0.002516198,0,0,2,-2,2,2,1.2,2.6,-1.4,1
2023-wimbledon-1301,448,12,2,0,0,0.019516564,0.018140268,0,0,-1,1,1,-1,2.5,2.3166313,0.1833687,0
2023-wimbledon-1301,486,13,2,0,0,0.025287197,0.0185094,0,-1,1,-1,1,1,2.5,1.7,0.8,-1
2023-wimbledon-1301,521,14,2,0,0.12479256,0.008775872,0.006329507,0,0,2,-2,2,2,1.2,3.6,-2.4,0
2023-wimbledon-1301,551,15,2,0,0,0.002227889,0.001961347,0,0,-1,1,2,-1,1.5,3.02479256,-1.52479256,1
2023-wimbledon-1301,577,16,2,0,0,0.003890231,0.003434677,0,0,-2,2,1,-2,2.2,1.4,0.8,-1
2023-wimbledon-1301,620,17,2,0,0,0.002678347,0.00273661,0,0,1,-1,2,1,1.5,2.9,-1.4,0
2023-wimbledon-1301,645,18,2,0,0.20259066,0.011940006,0.012903413,0,0,-1,1,2,-1,1.5,2.9,-1.4,1
2023-wimbledon-1301,684,19,1,0.6166313,0,0.00170395,0.001743863,0,0,-2,2,1,-2,2.6,1.40259066,1.19740934,0
2023-wimbledon-1301,707,20,1,0,0,0.022250672,0.041367416,0,0,1,-1,1,1,3.5166313,1.5,2.0166313,-1
2023-wimbledon-1301,737,21,1,0,0,0.00485831,0.006477751,0,0,2,-2,2,2,1.4,2.2,-0.8,1
2023-wimbledon-1301,764,22,1,0,0,0.088572388,0.069534092,0,-1,-1,1,1,-1,2.9,1.5,1.4,0
2023-wimbledon-1301,806,23,1,0,0,0.002402857,0.002562737,0,0,1,-1,1,1,2.9,2.5,0.4,-1
2023-wimbledon-1301,931,24,2,0,0,0.010239715,0.011004935,-1,0,2,-2,2,2,1.2,2.6,-1.4,0
2023-wimbledon-1301,975,25,2,0,0,0.011849552,0.0111965,0,0,-1,1,2,-1,2.5,2.9,-0.4,0
2023-wimbledon-1301,1007,26,2,0,0.6166313,0.001793479,0.001831098,0,0,-2,2,2,-2,1.2,2.6,-1.4,0
2023-wimbledon-1301,1028,27,2,0,0.12479256,0.015372611,0.006684746,0,0,-3,3,2,-3,1.3,3.3166313,-2.0166313,1
2023-wimbledon-1301,1069,28,1,0.12479256,0,0.019207446,0.035280284,0,0,-4,4,1,-4,2.8,1.52479256,1.27520744,0
2023-wimbledon-1301,1105,29,1,0,0,0.002590533,0.003505999,0,0,1,-1,1,1,3.02479256,1.5,1.52479256,0
2023-wimbledon-1301,1130,30,1,0.0777981,0,0.009852638,0.010230431,0,0,2,-2,1,2,2.6,1.2,1.4,-1
